PeriodID,particip_year,service_year,year_desc,asof_quarter_sort,enrl_type
1,2025,2025,py,3,1
2,2025,2025,py,3,2
3,2025,2025,py,3,3
4,2025,2025,py,3,4
5,2025,2023,by3,5,2
6,2025,2023,by3,5,3
7,2025,2023,by3,5,4
8,2025,2023,by3,5,1
9,2025,2021,by1,5,1
10,2025,2021,by1,5,2
11,2025,2021,by1,5,3
12,2025,2021,by1,5,4
13,2025,2022,by2,5,1
14,2025,2022,by2,5,2
15,2025,2022,by2,5,3
16,2025,2022,by2,5,4
17,2025,2021,by1,5,all
18,2025,2022,by2,5,all
19,2025,2023,by3,5,all
20,2025,2025,benchmark,5,1
21,2025,2025,benchmark,5,2
22,2025,2025,benchmark,5,3
23,2025,2025,benchmark,5,4
24,2025,2025,by3,5,1
25,2025,2025,by3,5,2
26,2025,2025,by3,5,3
27,2025,2025,by3,5,4
28,2025,2025,benchmark,5,all
29,2025,2025,py,3,all
30,2025,2025,by3,5,all
